Name,Popularity,Followers,Genres,Average_top_song_length_in_min,Spotify_ID,Spotify_URL
Spinvis,49,76468,['nederpop'],4.25,1Vxc40v4VtLpSWTF2bn8Y4,https://open.spotify.com/artist/1Vxc40v4VtLpSWTF2bn8Y4
Sade,80,5010947,[],4.68,47zz7sob9NUcODy0BTDvKx,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx
sombr,90,2437639,[],3.57,4G9NDjRyZFDlJKMRL8hx3S,https://open.spotify.com/artist/4G9NDjRyZFDlJKMRL8hx3S
Suzan & Freek,65,693558,"['nederpop', 'hollands']",2.97,77IW5ZK1smDQYYKDCQugXh,https://open.spotify.com/artist/77IW5ZK1smDQYYKDCQugXh
Sevn Alias,62,417741,[],3.25,0HDMwoCS316xhKCZlJPBnc,https://open.spotify.com/artist/0HDMwoCS316xhKCZlJPBnc
S10,60,89631,['nederpop'],3.2,1zT9SWCzN45r7oVhy0VYLK,https://open.spotify.com/artist/1zT9SWCzN45r7oVhy0VYLK
Stromae,76,3834086,['french pop'],3.23,5j4HeCoUlzhfWtjAfM1acR,https://open.spotify.com/artist/5j4HeCoUlzhfWtjAfM1acR
SZA,91,32459048,['r&b'],3.4,7tYKF4w9nC0nq9CsPZTHyP,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
Snelle,64,617809,"['nederpop', 'hollands']",3.0,3E31HqA00iCX9nRhesw6LD,https://open.spotify.com/artist/3E31HqA00iCX9nRhesw6LD
Samuel Welten,58,17365,['hollands'],2.71,3smrOozTm8zGvRfrcIyRg9,https://open.spotify.com/artist/3smrOozTm8zGvRfrcIyRg9
Sia,86,30352172,[],3.74,5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
$hirak,62,134415,[],3.03,1uUuCEXmWpKN2YLl5xSoT2,https://open.spotify.com/artist/1uUuCEXmWpKN2YLl5xSoT2
Shallipopi,73,2845638,"['afrobeats', 'afropiano', 'afrobeat', 'amapiano', 'afropop', 'afro adura']",2.83,4TKhxSkqClXrdtUWgKqHVU,https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU
Sean Paul,85,5239501,['dancehall'],3.4,3Isy6kedDrgPYoTS1dazA9,https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9
Taylor Swift,100,143413035,[],3.8,06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Twenty One Pilots,88,25684487,[],3.79,3YQKmKGau1PzlVlkL1iodx,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx
TOOL,74,4462401,"['progressive metal', 'alternative metal', 'progressive rock', 'metal']",7.14,2yEwvVSSSUkcLeSTNyHKh8,https://open.spotify.com/artist/2yEwvVSSSUkcLeSTNyHKh8
Typhoon,53,68706,"['nederpop', 'hollands']",3.37,6kBlEsdNeNW2qnmW56xDhx,https://open.spotify.com/artist/6kBlEsdNeNW2qnmW56xDhx
The Weeknd,97,111308548,[],3.95,1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
Tate McRae,91,8893372,[],2.7,45dkTj5sMRSjrmBSBeiHym,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym
Tame Impala,84,9262301,"['neo-psychedelic', 'indie']",4.84,5INjqkS1o8h1imAzPqGZBb,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb
"Tyler, The Creator",92,23968975,[],3.6,4V8LLVI7PbaPR0K2TGSxFF,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF
Tory Lanez,83,8132038,[],3.36,2jku7tDXc6XoB6MO2hFuqg,https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg
Tems,79,3396881,"['afrobeats', 'afro r&b', 'alté', 'afrobeat']",3.51,687cZJR45JO7jhk1LHIbgq,https://open.spotify.com/artist/687cZJR45JO7jhk1LHIbgq
Travis Scott,94,40642783,['rap'],3.81,0Y5tJX1MQlPlqiwlOH1tJY,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY
Tom Odell,80,4270539,[],3.21,2txHhyCwHjUEpJjWrEyqyX,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX
Tyla,81,3385912,['afrobeats'],2.86,3SozjO3Lat463tQICI9LcE,https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE
Turfy Gang,55,37043,[],2.42,7DOOGHZ6CXsF8bvNrnDE6W,https://open.spotify.com/artist/7DOOGHZ6CXsF8bvNrnDE6W
Tino Martin,62,235770,"['hollands', 'nederpop']",3.16,0iVHnv2bQN5iee8J6iCVO4,https://open.spotify.com/artist/0iVHnv2bQN5iee8J6iCVO4
Teddy Swims,87,5478594,[],3.32,33qOK5uJ8AR2xuQQAhHump,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump
Tabitha,59,133914,"['nederpop', 'hollands']",3.11,7iBY1RLWDV5zX9NDNQxurm,https://open.spotify.com/artist/7iBY1RLWDV5zX9NDNQxurm
Bruce Springsteen,79,7236278,[],3.97,3eqjTLE0HfPfh78zjh6TqT,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT
Underworld,63,727599,"['big beat', 'electronica']",7.81,1PXHzxRDiLnjqNrRn2Xbsa,https://open.spotify.com/artist/1PXHzxRDiLnjqNrRn2Xbsa
Unicorn On Ketamine,51,122183,"['speedcore', 'frenchcore', 'hardcore', 'hardstyle', 'hardcore techno', 'gabber', 'tekno']",2.94,3NoAERCAeMG0EOGpbpdYLm,https://open.spotify.com/artist/3NoAERCAeMG0EOGpbpdYLm
USH,46,10909,"['hard techno', 'techno', 'tekno', 'industrial', 'hardcore techno']",4.57,1soUF8xmV5ij7Zi5ykNGr6,https://open.spotify.com/artist/1soUF8xmV5ij7Zi5ykNGr6
U2,80,13526005,['rock'],4.43,51Blml2LZPmy7TTiAg47vQ,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ
Upper90,42,10397,"['hard house', 'eurodance', 'hypertechno', 'trance']",3.86,5ye3YheRaIaodo3nid7Wxz,https://open.spotify.com/artist/5ye3YheRaIaodo3nid7Wxz
UZI,76,6244352,"['turkish hip hop', 'drill']",2.99,51DevdOxIJin6DB1FXJpD1,https://open.spotify.com/artist/51DevdOxIJin6DB1FXJpD1
UNITY,36,31215,[],2.78,54dv0rc6Vdr8W63cyZLzoV,https://open.spotify.com/artist/54dv0rc6Vdr8W63cyZLzoV
USHER,84,13608467,['r&b'],4.02,23zg3TcAtWQy7J6upgbUnj,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
Unresolved,49,29517,"['hardstyle', 'frenchcore', 'hardcore']",3.23,6glAHKAPvBPUQ4HQcYXxpr,https://open.spotify.com/artist/6glAHKAPvBPUQ4HQcYXxpr
Wolf Alice,71,842295,['indie'],3.93,3btzEQD6sugImIHPMRgkwV,https://open.spotify.com/artist/3btzEQD6sugImIHPMRgkwV
Udow,39,2577,"['frenchcore', 'hardcore', 'bounce']",2.67,0ks7tKbD7vxmutoXPuwxnB,https://open.spotify.com/artist/0ks7tKbD7vxmutoXPuwxnB
Unique,36,1596,['hardstyle'],2.72,10e2OpyOdgZ2qE359Wp6Q6,https://open.spotify.com/artist/10e2OpyOdgZ2qE359Wp6Q6
